cat_num,Latitude,Longitude,quality,link,num_syllables,freq_range_mm,duration_mm,two_khz_mm,two_sec_mm,skip_notes,group_letter,group_members
459003271,32.763541,-94.477647,3,https://macaulaylibrary.org/asset/459003271,10,7,135,10,120,,M,Zahra
458993391,41.1772327,-73.6762905,5,https://macaulaylibrary.org/asset/458993391,10,12,103,10,120,,M,Zahra
458933761,42.9396281,-87.8456685,3,https://macaulaylibrary.org/asset/458933761,12,16,103,10,120,,M,Zahra
458923271,41.7765606,-93.4040022,3,https://macaulaylibrary.org/asset/458923271,12,11,150,10,120,,M,Zahra
458814961,40.0957357,-75.6000137,4,https://macaulaylibrary.org/asset/458814961,11,16,147,10,120,,M,Zahra
458814961,40.0957357,-75.6000137,4,https://macaulaylibrary.org/asset/458814961,11,5,100,8,96,,M,Alfredo
458624411,44.219258,-69.94786,3,https://macaulaylibrary.org/asset/458624411,8,8,130,8,96,,M,Alfredo
458546911,41.9968637,-72.4012631,4,https://macaulaylibrary.org/asset/458546911,14,10,115,8,96,,M,Alfredo
458459241,43.8313207,-73.406589,4,https://macaulaylibrary.org/asset/458459241,19,8,77,8,96,,M,Alfredo
458459091,43.842692,-73.415286,3,https://macaulaylibrary.org/asset/458459091,11,8,78,8,96,,M,Alfredo
458453311,41.4319095,-72.2873071,3,https://macaulaylibrary.org/asset/458453311,13,9,80,8,96,,M,Alfredo
457964911,42.4667,-87.8015,4,https://macaulaylibrary.org/asset/457964911,10,7,74,8,96,,M,Alfredo
457959291,41.0319425,-74.7411292,5,https://macaulaylibrary.org/asset/457959291,9,10,65,8,96,,M,Alfredo
457959261,41.0319425,-74.7411292,3,https://macaulaylibrary.org/asset/457959261,13,8,80,8,96,,M,Alfredo
457959251,41.0319425,-74.7411292,4,https://macaulaylibrary.org/asset/457959251,9,10,57,8,26,,M,Alfredo
457838351,42.5788068,-86.0159092,3,https://macaulaylibrary.org/asset/457838351,10,11,60,8,26,,M,Alfredo
457836391,41.6457021,-71.7574177,5,https://macaulaylibrary.org/asset/457836391,10,11,95,8,26,,M,Alfredo
170120571,43.51102,-91.3499,3.5,https://macaulaylibrary.org/asset/170120571,15,8,112,12,132,,I,Chris
169514491,42.3267,-85.3474,4.5,https://macaulaylibrary.org/asset/169514491,NA,NA,NA,NA,NA,MisID,I,Chris
